ExpenseID,Date,Category,Description,Amount,ApprovedBy,PaymentMethod
5001,2026-03-29,Consulting,Purchase for consulting requirements,3492.89,R. Gonzalez,Cash
5002,2026-02-17,Travel,Purchase for travel requirements,1688.68,G. White,Petty Cash
5003,2026-02-23,Hardware,Purchase for hardware requirements,2286.48,J. White,Bank Transfer
5004,2026-07-10,Consulting,Purchase for consulting requirements,570.48,W. Taylor,PayPal
5005,2026-03-11,Office Supplies,Purchase for office supplies requirements,911.62,Y. Taylor,Petty Cash
5006,2026-07-07,Travel,Purchase for travel requirements,1291.0,E. Jackson,Bank Transfer
5007,2026-06-25,Utilities,Purchase for utilities requirements,1230.64,M. Davis,Petty Cash
5008,2026-06-29,Equipment,Purchase for equipment requirements,339.03,J. Smith,Petty Cash
5009,2026-06-04,Equipment,Purchase for equipment requirements,1596.92,H. Hernandez,Petty Cash
5010,2026-07-01,Hardware,Purchase for hardware requirements,419.0,D. Davis,Bank Transfer
5011,2026-05-26,Utilities,Purchase for utilities requirements,4947.92,B. Hernandez,Bank Transfer
5012,2026-06-10,Utilities,Purchase for utilities requirements,2268.59,V. Lopez,Petty Cash
5013,2026-07-09,Consulting,Purchase for consulting requirements,3313.03,N. Thomas,Bank Transfer
5014,2026-07-02,Travel,Purchase for travel requirements,1360.25,J. Thomas,Credit Card
5015,2026-03-04,Hardware,Purchase for hardware requirements,2108.02,T. Miller,Petty Cash
5016,2026-04-19,Software,Purchase for software requirements,2312.28,S. Jackson,Credit Card
5017,2026-03-12,Equipment,Purchase for equipment requirements,2611.83,L. Lee,Cash
5018,2026-05-05,Marketing,Purchase for marketing requirements,194.79,V. Garcia,Petty Cash
5019,2026-01-25,Utilities,Purchase for utilities requirements,2456.75,G. Clark,Cash
5020,2026-03-10,Consulting,Purchase for consulting requirements,417.88,N. Robinson,Bank Transfer
5021,2026-01-22,Equipment,Purchase for equipment requirements,3325.0,S. Johnson,Bank Transfer
5022,2026-06-10,Software,Purchase for software requirements,2839.18,A. Harris,PayPal
5023,2026-05-23,Utilities,Purchase for utilities requirements,1380.91,Z. Lopez,Credit Card
5024,2026-06-29,Consulting,Purchase for consulting requirements,4528.08,S. Johnson,Petty Cash
5025,2026-03-08,Marketing,Purchase for marketing requirements,3617.91,P. Harris,Credit Card
5026,2026-06-24,Marketing,Purchase for marketing requirements,1471.99,W. Jackson,Credit Card
5027,2026-04-29,Utilities,Purchase for utilities requirements,2337.17,G. Jackson,Cash
5028,2026-01-26,Hardware,Purchase for hardware requirements,4309.94,G. Thompson,Petty Cash
5029,2026-03-29,Hardware,Purchase for hardware requirements,3895.59,A. Thompson,Cash
5030,2026-07-04,Travel,Purchase for travel requirements,4838.41,K. Lee,Credit Card
5031,2026-02-06,Travel,Purchase for travel requirements,4113.06,I. Jones,Credit Card
5032,2026-07-12,Software,Purchase for software requirements,1277.59,X. Hernandez,Cash
5033,2026-04-11,Utilities,Purchase for utilities requirements,3214.77,P. Taylor,Bank Transfer
5034,2026-06-28,Consulting,Purchase for consulting requirements,4444.47,H. Lee,Petty Cash
5035,2026-03-16,Consulting,Purchase for consulting requirements,3036.18,I. Lewis,Cash
5036,2026-04-10,Software,Purchase for software requirements,3043.43,Y. Moore,Cash
5037,2026-05-08,Software,Purchase for software requirements,4272.71,X. Jones,Bank Transfer
5038,2026-05-19,Travel,Purchase for travel requirements,51.78,P. Hernandez,PayPal
5039,2026-06-02,Software,Purchase for software requirements,2502.58,S. Rodriguez,Credit Card
5040,2026-04-17,Marketing,Purchase for marketing requirements,4653.84,Q. Jackson,Petty Cash
5041,2026-05-07,Consulting,Purchase for consulting requirements,587.46,E. Martin,Bank Transfer
5042,2026-04-30,Software,Purchase for software requirements,3187.31,Z. Martinez,Bank Transfer
5043,2026-05-21,Hardware,Purchase for hardware requirements,1092.19,Q. Miller,Cash
5044,2026-06-10,Utilities,Purchase for utilities requirements,1316.85,R. Anderson,Cash
5045,2026-06-11,Utilities,Purchase for utilities requirements,2291.29,Y. Jackson,Petty Cash
5046,2026-01-24,Utilities,Purchase for utilities requirements,4619.91,I. Davis,PayPal
5047,2026-05-04,Marketing,Purchase for marketing requirements,4752.03,N. Robinson,Bank Transfer
5048,2026-02-12,Software,Purchase for software requirements,2125.31,D. Lee,Bank Transfer
5049,2026-03-13,Utilities,Purchase for utilities requirements,4045.11,E. Martinez,Cash
5050,2026-03-09,Hardware,Purchase for hardware requirements,4589.48,F. Smith,Credit Card
5051,2026-06-25,Marketing,Purchase for marketing requirements,1394.37,K. Jackson,Petty Cash
5052,2026-04-15,Office Supplies,Purchase for office supplies requirements,2380.48,X. Robinson,Cash
5053,2026-05-23,Hardware,Purchase for hardware requirements,3594.68,J. Harris,Cash
5054,2026-05-10,Utilities,Purchase for utilities requirements,2026.73,V. Smith,Petty Cash
5055,2026-05-08,Travel,Purchase for travel requirements,2248.13,H. Taylor,Petty Cash
5056,2026-01-29,Travel,Purchase for travel requirements,3423.71,L. Rodriguez,PayPal
5057,2026-04-21,Equipment,Purchase for equipment requirements,4104.44,F. Jackson,Bank Transfer
5058,2026-07-08,Office Supplies,Purchase for office supplies requirements,489.8,X. Jones,PayPal
5059,2026-05-29,Utilities,Purchase for utilities requirements,2806.68,X. Lee,PayPal
5060,2026-04-22,Marketing,Purchase for marketing requirements,1330.34,L. Martinez,Bank Transfer
5061,2026-05-07,Software,Purchase for software requirements,2310.98,J. Wilson,Credit Card
5062,2026-02-09,Consulting,Purchase for consulting requirements,2342.18,Y. Clark,Cash
5063,2026-02-22,Consulting,Purchase for consulting requirements,3162.67,Y. Smith,Credit Card
5064,2026-04-03,Consulting,Purchase for consulting requirements,3614.5,Y. Rodriguez,Bank Transfer
5065,2026-03-16,Travel,Purchase for travel requirements,4351.34,B. Clark,Credit Card
5066,2026-04-07,Equipment,Purchase for equipment requirements,1689.98,G. Moore,PayPal
5067,2026-04-04,Equipment,Purchase for equipment requirements,4379.32,V. Walker,Petty Cash
5068,2026-01-26,Marketing,Purchase for marketing requirements,1881.47,W. Davis,Credit Card
5069,2026-03-25,Travel,Purchase for travel requirements,437.48,Z. Thompson,Cash
5070,2026-03-24,Software,Purchase for software requirements,2050.27,I. White,PayPal
5071,2026-06-18,Office Supplies,Purchase for office supplies requirements,2944.41,W. Hernandez,Credit Card
5072,2026-02-09,Marketing,Purchase for marketing requirements,843.96,V. Jackson,PayPal
5073,2026-04-03,Marketing,Purchase for marketing requirements,205.31,H. Robinson,Credit Card
5074,2026-07-16,Utilities,Purchase for utilities requirements,4628.71,C. Martin,Petty Cash
5075,2026-06-30,Consulting,Purchase for consulting requirements,3251.56,H. Harris,Cash
5076,2026-07-10,Hardware,Purchase for hardware requirements,1488.43,B. Hernandez,Cash
5077,2026-01-28,Software,Purchase for software requirements,2278.25,P. Anderson,Bank Transfer
5078,2026-03-25,Office Supplies,Purchase for office supplies requirements,3105.06,V. Gonzalez,Petty Cash
5079,2026-02-05,Equipment,Purchase for equipment requirements,68.11,K. Lewis,Petty Cash
5080,2026-03-01,Utilities,Purchase for utilities requirements,3707.82,L. Garcia,Cash
5081,2026-03-09,Travel,Purchase for travel requirements,526.88,B. Williams,Credit Card
5082,2026-03-12,Utilities,Purchase for utilities requirements,233.62,W. Harris,Petty Cash
5083,2026-07-16,Utilities,Purchase for utilities requirements,4315.4,D. Garcia,Credit Card
5084,2026-04-21,Consulting,Purchase for consulting requirements,4502.6,D. Davis,Cash
5085,2026-02-08,Equipment,Purchase for equipment requirements,358.99,P. Robinson,PayPal
5086,2026-06-26,Consulting,Purchase for consulting requirements,951.09,M. Rodriguez,Bank Transfer
5087,2026-01-30,Office Supplies,Purchase for office supplies requirements,2606.45,I. Taylor,PayPal
5088,2026-06-26,Utilities,Purchase for utilities requirements,559.01,F. Harris,PayPal
5089,2026-03-21,Equipment,Purchase for equipment requirements,3174.84,D. Gonzalez,Cash
5090,2026-06-04,Office Supplies,Purchase for office supplies requirements,1022.18,C. Clark,Cash
5091,2026-03-21,Marketing,Purchase for marketing requirements,3958.53,B. Walker,Cash
5092,2026-03-16,Travel,Purchase for travel requirements,2115.13,N. Robinson,Cash
5093,2026-05-30,Travel,Purchase for travel requirements,3645.79,N. Martinez,Bank Transfer
5094,2026-06-22,Consulting,Purchase for consulting requirements,812.13,Y. Miller,Credit Card
5095,2026-05-27,Marketing,Purchase for marketing requirements,4277.13,W. Smith,Bank Transfer
5096,2026-04-01,Office Supplies,Purchase for office supplies requirements,2424.97,T. Garcia,Petty Cash
5097,2026-03-19,Hardware,Purchase for hardware requirements,3200.83,J. Garcia,Credit Card
5098,2026-02-02,Software,Purchase for software requirements,4654.12,Z. Martinez,Credit Card
5099,2026-03-31,Travel,Purchase for travel requirements,1226.05,E. Walker,Petty Cash
5100,2026-06-29,Travel,Purchase for travel requirements,12.34,D. Wilson,PayPal
